test,words,old_new,textbox.text,,,,,,,,
p_li_e,police,old,police,,,,,,,,
_ha_t,chart,old,chart,,,,,,,,
k_y_,keys,old,keys,,,,,,,,
c_u_s_,cruise,old,cruise,,,,,,,,
_o_se,mouse,old,mouse,,,,,,,,
_a_b_e,marble,old,marble,,,,,,total,answered,proportion
c_s_i_n,cushion,old,cushion,,Proportional hit from the study list:,,,,14,14,1
p_ste_,poster,old,poster,,Proportional hit from nonprimed words,,,,6,5,0.833333333
l_pt_p,laptop,old,laptop,,,,,,,,
_o_rd,board,old,board,,Priming Score,,,,,,0.166666667
c_s_,case,old,case,,,,,,,,
p_o_e,phone,old,phone,,,,,,,,
P_st_y,pastry,old,pastry,,,,,,,,
t_hi_t,tshirt,old,tshirt,,,,,,,,
p_nc_l,pencil,new,pencil,,,,,,,,
v_s_,vase,new,vase,,,,,,,,
t_bl_,table,new,table,,,,,,,,
c_me_a,camera,new,camera,,,,,,,,
b_t_l_,bottle,new,bottle,,,,,,,,
b_o_,book,new,,,,,,,,,
