test,words,old_new,textbox.text,,,,,,,,,
_o_se,mouse,old,mouse,,,,,,,,,
p_ste_,poster,old,poster,,,,,,,,,
k_y_,keys,old,keys,,,,,,,,,
p_o_e,phone,old,phone,,,,,,,,,
c_s_i_n,cushion,old,cushion,,,,,,,,,
l_pt_p,laptop,old,laptop,,,,,,,,,
_ha_t,chart,old,tshirt,,,,,,,total,answered,proportion
p_li_e,police,old,police,,,Proportional hit from the study list,,,,14,13,0.928571429
_o_rd,board,old,,,,Proportional hit from nonprimed words,,,,6,4,0.666666667
P_st_y,pastry,old,pastry,,,Priming Score,,,,,,0.261904762
_a_b_e,marble,old,marble,,,,,,,,,
t_hi_t,tshirt,old,tshirt,,,,,,,,,
c_s_,case,old,case,,,,,,,,,
c_u_s_,cruise,old,cushion,,,,,,,,,
v_s_,vase,new,,,,,,,,,,
t_bl_,table,new,table,,,,,,,,,
p_nc_l,pencil,new,pencil,,,,,,,,,
b_o_,book,new,,,,,,,,,,
b_t_l_,bottle,new,bottle,,,,,,,,,
c_me_a,camera,new,camera,,,,,,,,,
